"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
1	0.35	0	0.01	9.888	9.44211188647999	50	10	100	0.445888113520015	-2.4908567307283	"normal"
2	0.33	0	0.03	9.888	9.48436141535631	50	10	100	0.403638584643685	-1.33391804808752	"normal"
3	0.36	0	0	9.888	9.36207210655102	50	10	100	0.525927893448976	-2.30286293751723	"normal"
1	0.35	0	0.02	9.888	9.01820396484818	50	10	100	0.869796035151824	-1.60968322489416	"normal"
2	0.34	0	0.03	9.888	9.38393817414068	50	10	100	0.504061825859322	-2.24978455634293	"normal"
3	0.37	0	0	9.888	9.03792059177324	50	10	100	0.85007940822676	-3.79255911823127	"normal"
1	0.36	0	0.02	9.888	9.29857932682124	50	10	100	0.589420673178765	-4.04376557108034	"normal"
2	0.34	0	0.04	9.888	8.64042003037575	50	10	100	1.24757996962425	-2.4503555865001	"normal"
3	0.38	0	0	9.888	9.175410346673	50	10	100	0.712589653326997	-2.34155483983039	"normal"
1	0.37	0	0.02	9.888	9.25077618899034	50	10	100	0.637223811009656	-1.59265772635298	"normal"
2	0.35	0	0.04	9.888	9.41570052944949	50	10	100	0.472299470550507	-2.23821589360288	"normal"
3	0.39	0	0	9.888	8.98324173111265	50	10	100	0.904758268887354	-2.13071567208539	"normal"
1	0.38	0	0.02	9.888	9.55991085008306	50	10	100	0.328089149916943	-3.20263546938415	"normal"
2	0.36	0	0.04	9.888	9.62215593035263	50	10	100	0.265844069647372	-1.23541997956109	"normal"
3	0.4	0	0	9.888	9.58851281214176	50	10	100	0.299487187858242	-2.51046988480435	"normal"
1	0.39	0	0.02	9.888	9.63606849855059	50	10	100	0.251931501449409	-3.06023787849419	"normal"
2	0.37	0	0.04	9.888	9.4653686952007	50	10	100	0.4226313047993	-2.91585918370613	"normal"
3	0.41	0	0	9.888	9.33612965677755	50	10	100	0.551870343222447	-2.8327776470463	"normal"
1	0.4	0	0.02	9.888	9.25587525449548	50	10	100	0.63212474550452	-4.53884045213634	"normal"
2	0.38	0	0.04	9.888	9.28055806310212	50	10	100	0.607441936897883	-2.40812660417507	"normal"
3	0.42	0	0	9.888	8.82360538426375	50	10	100	1.06439461573625	-2.80140528773282	"normal"
1	0.41	0	0.02	9.888	9.08243597420888	50	10	100	0.805564025791124	-2.95035501290518	"normal"
2	0.39	0	0.04	9.888	9.12101907223628	50	10	100	0.76698092776372	-1.9600099890602	"normal"
3	0.43	0	0	9.888	9.34435499875135	50	10	100	0.543645001248649	-3.62638445275659	"normal"
1	0.42	0	0.02	9.888	8.89785985687437	50	10	100	0.990140143125632	-2.48547859185667	"normal"
2	0.4	0	0.04	9.888	9.35795531421819	50	10	100	0.530044685781807	-2.94826014599563	"normal"
3	0.44	0	0	9.888	9.47284609397155	50	10	100	0.415153906028452	-2.28495697760315	"normal"
1	0.43	0	0.02	9.888	9.44509847148835	50	10	100	0.442901528511648	-3.20994161868201	"normal"
